transaction_amount,transaction_hour,account_age_days,num_transactions_last_24h,distance_from_home_km,is_fraud
94.35,3,1371,2,1.69,0
123.97,15,625,1,21.78,0
22.89,6,9,0,32.13,0
106.39,15,1136,3,0.54,0
41.61,20,529,1,10.93,0
17.68,4,1155,1,11.25,0
125.48,18,127,2,25.57,0
89.12,7,362,2,4.27,0
363.02,21,114,3,27.85,0
149.16,18,514,0,14.28,0
41.12,9,232,2,5.64,0
50.31,2,46,4,9.44,0
37.74,13,385,2,9.92,0
52.81,7,433,2,3.56,0
50.76,0,76,3,7.65,0
64.74,10,563,0,8.8,0
264.98,8,1351,1,5.24,0
31.96,10,105,1,49.13,0
73.19,2,182,1,23.4,0
38.8,23,195,0,15.74,0
126.36,3,562,3,8.72,0
167.05,9,53,3,0.58,0
115.76,8,2843,0,2.84,0
76.44,11,149,2,2.51,0
29.61,9,158,1,9.98,0
84.58,3,1464,2,13.24,0
109.52,15,778,3,0.86,0
142.69,20,69,1,9.31,0
120.55,18,152,0,1.1,0
128.9,4,107,5,7.71,0
90.83,0,378,0,1.95,0
74.87,10,180,1,31.62,0
271.1,14,1351,3,11.04,0
206.36,9,103,5,17.07,0
283.82,0,209,2,3.09,0
37.37,14,1591,1,17.77,0
26.01,11,37,2,3.13,0
143.24,13,470,2,11.23,0
106.44,22,121,1,38.67,0
129.38,13,143,3,3.58,0
30.02,17,27,1,44.5,0
26.89,4,686,2,5.32,0
125.75,10,7,0,17.34,0
131.68,13,99,2,15.57,0
107.31,14,2157,4,23.27,0
42.03,20,609,1,3.54,0
4.28,9,110,0,9.87,0
29.79,2,60,1,8.65,0
46.41,7,387,0,0.82,0
189.11,18,2767,2,10.55,0
117.5,4,726,1,1.1,0
63.58,15,165,0,7.22,0
21.52,8,56,3,42.76,0
60.87,12,466,0,4.4,0
149.36,0,686,2,1.17,0
140.38,21,56,1,34.26,0
171.89,4,60,2,14.63,0
150.59,7,337,1,15.85,0
39.55,19,44,4,16.96,0
43.45,17,193,0,3.71,0
121.71,9,1215,3,16.4,0
84.18,5,360,0,5.59,0
279.56,23,138,3,8.01,0
19.42,23,643,2,21.17,0
168.93,15,764,0,24.19,0
97.26,10,875,3,16.96,0
72.49,14,185,1,18.43,0
244.21,3,264,2,40.04,0
94.35,1,158,2,9.28,0
10.9,16,157,1,7.36,0
34.39,10,24,1,14.96,0
47.46,1,78,3,7.68,0
103.86,19,24,3,15.04,0
25.84,14,1528,3,34.74,0
128.72,21,389,1,25.59,0
56.16,5,443,4,1.52,0
88.63,15,785,1,17.19,0
25.27,22,779,2,25.18,0
27.95,15,311,0,0.24,0
14.2,0,719,2,35.62,0
35.56,18,1411,1,0.95,0
39.35,21,1048,3,25.12,0
302.12,17,523,2,18.45,0
161.39,20,880,3,2.52,0
185.08,6,380,3,2.67,0
94.75,5,873,4,2.47,0
69.94,19,801,1,19.49,0
84.37,3,122,1,2.13,0
209.34,19,508,3,3.97,0
175.58,23,266,2,13.14,0
46.06,8,1940,0,37.76,0
165.8,1,269,2,2.57,0
31.55,15,4,3,16.29,0
151.77,5,149,2,2.19,0
267.21,20,284,1,41.53,0
47.94,18,91,5,12.95,0
40.42,14,324,3,6.05,0
51.25,12,648,4,2.14,0
109.31,19,67,1,44.3,0
49.46,7,63,2,2.52,0
170.58,12,649,4,27.89,0
212.77,8,478,2,20.2,0
43.16,11,89,3,53.79,0
86.37,14,121,3,5.42,0
29.26,3,1041,2,1.17,0
86.43,5,972,2,5.39,0
36.88,11,141,2,48.37,0
45.57,6,1119,0,0.21,0
137.13,5,72,4,4.12,0
119.91,13,293,2,16.43,0
27.46,11,532,1,30.26,0
167.71,15,561,1,0.04,0
140.36,22,32,5,3.62,0
80.93,12,51,2,3.84,0
49.91,10,993,0,9.97,0
99.82,18,268,2,10.12,0
85.1,14,27,3,13.9,0
167.05,16,143,2,5.75,0
169.73,3,308,0,2.03,0
59.72,21,1340,2,23.09,0
99.5,20,819,1,14.9,0
61.37,10,189,2,26.83,0
51.43,11,498,1,1.04,0
93.48,11,91,3,9.82,0
84.12,17,466,1,11.13,0
29.54,7,775,4,3.33,0
275.97,3,52,4,20.6,0
53.12,17,79,2,40.97,0
50.78,5,821,2,2.27,0
38.05,11,145,4,9.94,0
204.62,0,340,1,2.11,0
49.72,4,329,1,14.59,0
173.26,9,44,3,1.67,0
78.53,4,238,1,12.48,0
39.95,18,1713,0,37.49,0
137.8,9,153,2,17.7,0
118.91,20,190,3,1.15,0
73.6,14,254,3,31.24,0
36.96,8,22,4,7.34,0
147.28,12,182,3,2.7,0
85.81,21,75,2,36.76,0
109.39,4,98,1,22.87,0
43.45,1,214,2,12.27,0
72.68,4,149,1,1.11,0
105.74,20,243,1,1.42,0
130.02,9,330,4,13.21,0
22.14,23,131,2,0.12,0
46.69,4,342,2,3.22,0
39.8,20,254,3,5.91,0
188.47,13,1987,0,19.75,0
34.32,10,463,1,16.88,0
103.56,4,262,0,1.23,0
161.96,8,386,4,8.48,0
19.78,9,1468,0,17.95,0
63.98,13,2159,4,0.95,0
61.57,16,31,1,17.2,0
132.45,13,1731,3,23.2,0
101.59,22,16,1,26.56,0
121.42,6,655,0,26.61,0
76.97,19,646,3,5.72,0
96.46,2,489,0,12.74,0
184.88,22,147,3,1.94,0
183.19,18,303,1,8.83,0
104.77,10,137,2,78.6,0
8.7,18,816,0,11.91,0
76.02,14,318,1,8.15,0
23.09,20,418,0,14.92,0
105.0,19,425,0,14.52,0
53.12,14,42,3,2.11,0
127.06,16,769,2,2.39,0
43.41,17,454,3,17.97,0
133.02,10,1143,3,21.27,0
80.35,7,1326,3,1.56,0
8.17,3,985,3,11.9,0
249.58,22,716,0,9.33,0
63.48,1,1006,5,13.01,0
293.36,17,41,2,14.91,0
101.26,19,620,1,0.63,0
161.67,22,56,2,1.72,0
78.12,0,20,1,36.68,0
78.74,13,375,3,3.4,0
66.87,6,184,2,11.65,0
66.06,7,543,4,8.82,0
143.19,15,1101,4,40.77,0
69.94,15,379,1,9.93,0
29.22,2,762,3,30.03,0
66.97,4,337,5,10.84,0
57.36,1,101,3,1.27,0
159.86,7,406,3,1.11,0
71.29,4,73,4,4.62,0
185.38,5,908,1,4.01,0
45.9,1,13,4,35.44,0
38.98,23,333,2,35.52,0
133.24,14,488,2,6.21,0
129.45,11,1998,1,48.49,0
50.9,10,131,4,18.73,0
200.27,12,401,1,1.21,0
59.19,1,1530,0,24.73,0
162.26,12,209,2,8.67,0
73.51,11,759,0,17.06,0
130.6,15,357,0,6.07,0
16.72,17,498,3,6.27,0
67.31,21,225,2,6.81,0
194.56,1,81,4,94.36,0
50.49,2,2352,1,2.03,0
296.08,13,284,0,9.43,0
45.38,7,359,1,9.14,0
164.41,6,416,3,2.64,0
284.84,0,23,1,0.67,0
88.54,5,315,6,8.11,0
99.72,13,734,2,30.44,0
239.32,3,578,2,12.83,0
68.82,15,1386,2,25.43,0
48.16,10,463,3,2.98,0
148.48,23,641,1,4.77,0
60.39,10,1200,2,18.3,0
128.34,12,831,3,12.55,0
79.31,8,191,6,0.08,0
34.95,8,408,4,18.3,0
136.0,20,1004,1,7.48,0
156.6,7,979,1,11.52,0
59.98,11,1466,1,27.81,0
42.68,17,376,2,2.29,0
165.37,17,451,7,15.55,0
139.24,21,189,3,17.59,0
112.73,8,876,4,52.03,0
90.35,20,862,1,25.43,0
98.16,7,419,2,1.94,0
198.09,12,81,3,0.85,0
107.16,2,273,1,22.04,0
13.58,23,751,0,28.14,0
149.35,4,484,3,19.79,0
136.12,2,1027,2,2.78,0
39.65,9,34,0,26.0,0
144.76,8,528,2,5.01,0
102.9,15,455,1,15.82,0
41.04,4,313,2,3.9,0
69.68,10,721,3,5.62,0
70.54,13,678,1,1.75,0
42.99,5,88,1,2.03,0
82.32,16,129,2,21.03,0
80.43,1,958,0,4.16,0
110.73,2,353,1,9.35,0
44.33,4,120,2,2.2,0
43.83,14,582,3,28.49,0
252.61,16,1159,1,1.84,0
44.23,17,689,1,39.57,0
104.72,10,80,2,8.56,0
159.5,20,145,4,11.87,0
15.37,20,224,0,14.47,0
111.99,12,355,1,22.04,0
130.7,0,1155,1,1.73,0
70.35,6,564,1,0.49,0
204.79,8,137,4,4.56,0
140.4,6,62,1,9.8,0
10.82,17,1048,3,2.69,0
162.35,4,309,1,72.32,0
77.74,10,35,1,36.57,0
233.67,11,915,1,2.53,0
40.59,23,664,3,10.98,0
28.48,7,39,4,3.89,0
101.66,10,683,2,19.02,0
130.55,3,98,2,68.37,0
117.77,6,235,1,8.93,0
38.97,3,496,3,23.91,0
44.62,1,40,2,0.28,0
161.71,13,270,1,15.3,0
62.61,22,77,1,8.45,0
70.58,12,120,1,0.64,0
16.68,13,27,1,40.41,0
23.43,16,111,3,12.53,0
165.62,17,374,0,0.14,0
200.59,20,3,4,9.16,0
62.89,15,689,3,16.32,0
64.19,5,1164,2,0.08,0
276.58,20,210,1,2.24,0
122.94,20,274,2,9.58,0
148.11,20,800,2,41.66,0
133.79,21,181,1,20.94,0
30.12,14,374,2,10.42,0
71.71,3,146,3,8.29,0
16.63,9,46,2,5.55,0
73.67,13,467,3,6.44,0
61.78,11,162,1,31.78,0
274.45,0,2290,5,17.83,0
194.97,12,426,3,1.89,0
68.69,18,225,2,7.6,0
121.76,12,18,2,10.95,0
49.64,6,852,2,14.68,0
190.39,7,47,4,13.23,0
61.59,7,66,2,12.44,0
111.58,2,672,4,29.79,0
114.19,11,87,4,15.75,0
106.7,18,1280,4,70.95,0
18.77,5,209,0,27.24,0
52.9,3,504,2,48.93,0
43.32,1,667,1,52.3,0
105.04,21,63,3,26.44,0
17.06,3,30,1,15.98,0
182.15,0,746,3,14.07,0
97.43,15,1172,3,0.43,0
130.24,2,779,1,44.7,0
29.65,22,332,1,2.61,0
31.66,0,148,2,14.99,0
54.7,16,363,2,4.19,0
6.58,7,273,3,5.45,0
26.25,0,205,1,5.65,0
105.27,5,210,5,3.54,0
136.29,15,2182,2,1.19,0
119.24,22,266,0,0.03,0
71.04,22,49,8,40.1,1
120.44,1,149,1,35.77,0
53.58,13,732,1,24.02,0
23.87,0,1,1,45.62,0
179.47,11,1175,3,9.62,0
64.61,3,410,2,3.78,0
226.85,3,480,5,11.58,0
214.08,12,855,2,38.64,0
75.29,7,111,4,72.65,0
298.79,21,156,3,3.87,0
242.49,12,338,2,6.61,0
138.7,5,2283,1,6.67,0
81.44,0,414,0,5.8,0
261.14,7,321,2,5.32,0
82.33,4,89,2,45.54,0
77.67,23,1268,0,14.29,0
66.72,23,2025,2,10.47,0
32.0,16,338,0,2.13,0
15.65,0,59,1,1.33,0
69.29,5,470,3,35.12,0
128.72,16,238,3,1.86,0
80.72,16,565,2,8.44,0
382.91,0,908,4,1.78,0
79.35,12,993,2,63.92,0
84.56,9,1309,1,26.65,0
80.27,7,1224,2,19.23,0
61.26,17,352,3,26.56,0
126.01,15,1238,3,11.29,0
38.49,3,515,3,10.73,0
45.42,22,153,3,3.36,0
17.51,19,172,1,6.37,0
94.51,0,50,3,22.82,0
44.31,1,435,1,5.13,0
211.96,21,498,2,36.18,0
105.87,9,120,2,0.69,0
299.24,18,559,0,35.96,0
46.61,1,68,2,1.73,0
180.16,8,108,1,12.83,0
19.26,13,1105,1,4.11,0
45.47,14,216,5,19.01,0
108.01,19,0,1,10.07,0
112.92,20,52,1,11.12,0
136.09,7,165,2,29.17,0
67.05,22,411,4,23.02,0
141.85,20,69,1,22.17,0
34.35,12,683,0,1.16,0
251.12,0,21,1,14.57,0
39.23,2,783,2,2.44,0
40.21,3,739,4,2.46,0
9.74,11,564,2,11.61,0
87.55,13,210,2,1.1,0
71.63,1,122,4,38.59,0
36.41,6,526,4,15.1,0
115.98,20,241,3,28.7,0
87.05,22,1937,2,18.83,0
48.57,4,201,2,14.7,0
143.47,20,641,3,4.61,0
142.37,9,477,2,20.77,0
34.31,5,70,3,2.35,0
44.67,23,206,1,21.65,0
21.55,10,1390,1,7.57,0
129.33,2,304,3,14.2,0
142.33,21,392,3,17.04,0
132.03,2,322,2,3.17,0
27.07,9,263,3,0.18,0
50.93,15,355,0,2.21,0
65.23,15,422,2,9.22,0
69.12,22,268,2,4.52,0
48.93,13,147,4,25.93,0
24.57,14,81,1,4.97,0
33.16,15,65,1,17.84,0
81.75,18,698,0,17.55,0
7.77,5,138,3,7.85,0
78.8,1,69,3,3.34,0
71.64,6,56,2,1.3,0
144.77,11,1152,1,8.33,0
43.52,20,43,5,21.24,0
46.58,19,226,3,31.87,0
52.39,20,37,3,48.02,0
190.67,5,183,1,12.56,0
56.7,21,697,2,2.6,0
109.31,10,159,0,13.52,0
133.22,18,533,1,38.89,0
26.51,8,101,4,14.11,0
131.26,12,991,5,0.89,0
30.32,6,593,1,11.41,0
65.76,18,70,0,13.41,0
63.93,15,862,1,0.74,0
144.0,1,246,1,0.98,0
144.16,12,63,1,10.23,0
139.45,12,1329,3,0.63,0
114.26,12,479,4,12.76,0
61.45,6,151,1,26.86,0
63.94,22,76,12,8.85,1
56.43,16,101,2,24.11,0
192.82,6,627,2,0.32,0
232.51,15,426,1,0.8,0
102.18,10,835,4,20.27,0
63.18,11,131,2,18.89,0
228.31,18,108,2,32.75,0
101.6,21,16,1,4.05,0
42.27,11,307,4,35.57,0
77.34,6,115,0,3.65,0
41.62,1,533,4,9.97,0
206.21,11,141,2,4.26,0
18.71,11,220,0,0.67,0
4.98,9,1558,1,41.47,0
52.51,18,62,1,17.59,0
79.16,12,213,0,2.25,0
86.77,16,419,3,10.71,0
131.44,21,582,3,14.41,0
137.13,10,192,0,10.25,0
120.79,15,28,4,24.07,0
102.56,21,199,2,6.75,0
84.53,9,425,4,12.4,0
173.6,13,257,5,20.05,0
88.79,11,465,2,39.19,0
12.26,22,17,5,17.91,0
6.27,10,525,3,6.14,0
156.22,2,16,11,36.9,1
26.69,5,210,2,3.9,0
264.29,20,1142,1,2.57,0
36.43,10,1084,3,0.77,0
91.32,15,2117,3,8.85,0
116.17,19,902,2,19.15,0
295.96,10,20,4,7.86,0
80.06,1,667,0,8.95,0
266.61,9,1462,0,9.65,0
33.86,5,3170,3,16.14,0
49.06,14,430,1,73.58,0
90.16,18,145,1,2.3,0
54.34,23,634,3,15.06,0
62.1,17,320,2,20.23,0
202.47,16,86,1,12.58,0
52.38,19,70,1,37.49,0
172.06,2,285,3,27.57,0
41.78,22,10,1,3.54,0
72.58,10,369,2,11.57,0
176.13,8,236,3,8.13,0
94.78,20,251,0,10.74,0
226.25,20,452,3,3.65,0
58.49,8,1135,1,17.15,0
67.22,14,503,3,7.88,0
54.68,15,1113,0,25.39,0
64.98,1,1247,2,4.67,0
241.38,19,724,2,1.68,0
104.2,10,56,8,24.41,1
116.45,15,20,0,19.61,0
137.08,1,1168,4,2.88,0
97.5,11,40,8,37.96,1
89.03,6,24,11,28.55,1
57.62,15,60,3,0.32,0
91.16,18,418,4,2.7,0
51.09,14,70,2,20.75,0
73.3,13,620,1,18.14,0
76.14,22,60,1,15.22,0
93.31,3,253,1,9.07,0
54.97,0,811,3,9.25,0
78.33,16,578,0,3.96,0
79.06,7,15,5,30.98,0
412.67,12,1442,2,14.8,0
143.01,20,789,5,12.08,0
49.57,4,2,2,17.41,1
86.53,20,2563,2,25.96,0
62.19,2,769,3,29.57,0
89.06,1,631,4,49.0,0
164.06,18,387,0,2.38,0
40.14,23,200,1,12.12,0
26.71,9,747,2,4.62,0
73.4,11,52,4,2.96,0
72.58,11,50,1,10.64,0
59.57,5,275,2,23.53,0
167.48,0,1211,1,6.68,0
147.25,14,34,2,18.56,0
124.74,5,164,3,13.78,0
10.86,23,1221,1,18.56,0
163.47,18,214,2,1.88,0
10.75,12,136,3,11.48,0
27.55,22,141,3,15.95,0
201.85,2,43,4,29.13,1
55.1,23,1603,1,0.26,0
124.23,17,52,4,4.51,0
31.83,11,273,0,0.78,0
119.68,3,2443,2,15.84,0
95.34,4,8,4,6.4,0
25.84,13,123,4,7.78,0
272.67,23,265,3,4.66,0
276.81,23,129,3,5.01,0
70.37,10,65,6,61.3,0
216.6,8,491,4,72.24,0
162.65,18,489,2,19.68,0
54.26,12,1322,6,16.16,0
9.93,13,72,3,35.44,0
53.59,3,128,3,8.34,0
12.79,20,65,0,22.41,0
216.39,7,330,3,0.4,0
99.77,13,420,2,7.24,0
71.76,5,191,1,22.87,0
42.74,12,386,0,21.33,0
45.7,0,67,2,33.36,0
43.14,2,1217,4,25.87,0
47.86,16,331,5,25.91,0
87.65,14,223,0,3.41,0
95.59,20,809,3,19.46,0
26.41,4,1370,2,5.19,0
25.64,11,89,0,14.88,0
27.98,1,41,3,1.54,0
39.75,13,1369,2,32.3,0
158.16,3,140,1,9.21,0
21.1,21,629,4,14.13,0
15.37,22,176,1,48.27,0
327.77,7,545,3,62.55,0
13.86,9,432,2,14.24,0
69.52,9,1208,1,22.16,0
17.49,8,135,3,2.71,0
10.56,6,1422,1,39.16,0
51.19,1,142,5,3.62,0
100.02,21,324,1,10.95,0
35.14,20,226,4,0.93,0
89.49,17,13,1,16.33,0
40.94,9,360,0,4.44,0
60.59,6,7,1,13.27,0
140.22,19,548,2,14.02,0
54.67,0,943,3,4.97,0
124.58,7,634,3,35.2,0
77.7,6,1128,5,29.0,0
76.61,10,878,1,11.08,0
36.39,3,530,1,27.5,0
96.68,20,98,2,0.03,0
78.63,12,47,5,13.03,0
123.4,11,14,2,10.2,0
302.0,8,135,1,2.58,0
23.43,23,306,1,20.23,0
85.78,22,105,1,15.43,0
68.85,0,99,1,19.16,0
184.09,6,618,3,4.75,0
126.41,4,692,3,3.65,0
193.85,22,927,4,12.17,0
66.29,1,669,2,13.56,0
70.27,6,104,4,2.58,0
14.41,19,25,5,10.62,1
10.2,23,22,2,4.53,0
56.76,4,273,2,18.98,0
103.29,20,43,1,14.59,0
58.55,9,202,1,8.39,0
49.34,18,237,1,28.9,0
43.53,3,279,3,13.68,0
27.19,15,610,2,55.09,0
168.18,10,31,3,0.52,0
128.56,20,251,2,0.84,0
64.78,6,138,0,1.24,0
76.85,8,5,1,16.84,0
214.67,20,98,2,10.07,0
150.66,19,136,2,4.74,0
81.46,6,64,1,1.13,0
50.67,20,2774,1,8.12,0
280.4,21,1424,2,9.61,0
47.5,22,88,3,1.1,0
271.1,9,26,2,12.93,0
32.88,1,328,3,7.29,0
143.04,1,50,2,1.99,0
62.37,21,264,0,12.73,0
252.98,12,66,0,24.64,0
58.23,19,1056,1,1.41,0
51.63,20,646,3,56.0,0
49.93,1,348,3,2.35,0
115.64,9,224,2,15.43,0
99.95,6,151,1,6.8,0
110.22,15,72,1,21.87,0
33.85,20,473,5,2.06,0
69.61,3,350,2,25.85,0
136.13,23,244,1,3.03,0
223.0,19,109,0,3.98,0
68.37,1,198,1,0.68,0
40.45,0,835,4,4.98,0
45.3,13,1935,1,9.75,0
83.78,9,1035,0,8.64,0
130.39,19,164,3,20.85,0
55.06,7,265,1,28.29,0
119.28,8,90,5,10.7,0
47.82,23,213,2,16.6,0
97.04,11,131,1,0.53,0
75.06,14,150,5,46.09,0
81.77,2,333,0,1.4,0
33.88,4,606,2,13.2,0
96.73,4,39,1,21.6,0
76.96,7,222,2,8.52,0
217.02,1,877,5,0.83,0
75.15,0,120,3,23.49,0
53.66,3,206,6,27.99,0
82.67,16,155,3,3.51,0
49.91,12,1592,2,4.82,0
138.47,18,150,1,15.39,0
116.53,17,26,3,3.19,0
95.03,21,884,1,27.97,0
204.33,9,188,1,1.84,0
31.95,21,262,1,6.08,0
75.8,1,414,2,5.78,0
105.22,13,990,3,27.65,0
40.05,10,368,4,15.37,0
130.89,20,169,3,1.22,0
414.07,17,241,2,4.43,0
55.58,12,40,4,60.39,0
436.59,7,183,0,5.24,0
33.31,9,932,1,2.85,0
20.27,8,57,2,4.72,0
120.3,0,1783,3,14.03,0
33.87,20,153,3,8.15,0
9.39,7,110,2,0.44,0
155.5,19,611,3,4.18,0
120.0,1,50,13,112.62,1
131.05,19,930,2,11.78,0
48.93,14,192,1,6.61,0
129.81,10,415,2,11.93,0
79.85,6,2432,4,33.09,0
61.59,9,200,4,30.78,0
57.75,18,69,7,19.16,1
115.27,14,1134,4,25.63,0
303.53,14,582,2,11.32,0
388.58,0,134,3,8.8,0
253.39,14,335,2,21.36,0
130.01,9,641,1,10.77,0
69.33,1,104,1,0.8,0
54.47,3,29,2,4.35,0
2.27,16,374,2,8.09,0
305.49,17,910,1,7.1,0
169.44,17,333,1,24.86,0
119.6,18,249,2,81.11,0
65.48,12,204,1,6.25,0
88.69,5,417,2,3.24,0
81.27,1,223,1,34.01,0
67.5,22,129,3,0.97,0
176.95,18,266,3,15.87,0
321.6,1,93,1,44.15,0
48.98,5,976,4,4.35,0
186.21,12,10,0,0.59,0
23.01,13,466,3,14.85,0
54.9,5,174,2,2.8,0
19.8,8,27,1,0.4,0
260.43,15,75,1,0.78,0
244.59,4,367,3,4.23,0
80.02,18,248,2,4.54,0
60.7,9,227,1,11.52,0
141.29,20,124,2,3.93,0
33.94,11,243,1,33.24,0
246.29,11,390,1,0.23,0
143.7,5,731,2,4.95,0
140.78,4,889,3,5.92,0
42.73,12,883,3,3.88,0
117.57,5,68,3,2.69,0
140.7,10,311,1,22.0,0
152.1,11,1188,1,1.8,0
49.86,16,207,4,0.07,0
108.18,9,511,4,4.15,0
70.26,7,233,1,12.35,0
297.4,12,1029,5,72.24,0
138.61,10,888,1,13.71,0
142.39,11,1175,0,7.89,0
114.53,19,23,1,2.05,0
58.58,16,161,3,7.92,0
78.72,19,820,1,42.81,0
18.54,19,244,1,1.09,0
103.56,0,309,3,30.13,0
235.71,8,16,3,5.75,0
185.9,11,178,2,3.45,0
111.83,11,314,1,27.65,0
93.24,13,438,2,29.8,0
125.4,4,1681,0,43.91,0
61.55,22,152,7,11.8,1
82.34,20,612,2,4.22,0
97.32,15,14,10,39.29,1
131.14,19,161,2,29.08,0
105.07,12,648,2,1.24,0
117.65,13,17,2,28.3,0
44.01,9,462,1,16.46,0
420.2,19,1041,1,20.04,0
60.16,21,8,2,49.76,0
121.66,12,659,1,22.98,0
81.34,9,688,2,0.6,0
48.22,21,267,1,8.34,0
51.52,14,4,1,7.17,0
5.57,20,472,1,28.31,0
88.68,13,254,3,13.47,0
222.37,8,352,2,6.64,0
136.85,14,271,2,15.59,0
181.11,20,165,0,26.29,0
121.79,22,498,0,4.38,0
108.58,15,182,0,21.16,0
259.56,0,273,2,23.63,0
97.91,15,418,1,25.67,0
44.05,10,112,3,10.51,0
52.61,12,511,2,10.91,0
262.73,0,1383,1,7.21,0
89.75,10,1746,4,28.44,0
44.83,17,131,2,4.86,0
96.7,11,231,2,0.58,0
132.86,16,43,2,73.06,0
35.36,13,768,2,13.89,0
108.76,12,737,1,20.41,0
95.99,21,1441,3,0.44,0
245.17,23,242,3,46.85,0
52.95,13,156,1,19.07,0
27.08,21,668,3,35.65,0
6.02,3,109,1,13.36,0
169.33,11,107,3,25.84,0
71.39,5,543,2,10.0,0
32.38,14,713,0,11.93,0
22.88,22,411,1,4.44,0
28.06,3,479,0,13.69,0
69.22,2,531,2,11.09,0
34.71,11,241,1,13.66,0
119.29,14,580,4,9.01,0
101.56,16,282,2,13.51,0
130.01,22,47,1,43.22,0
107.11,14,817,1,0.73,0
59.19,1,51,7,20.06,1
298.29,2,1197,1,6.76,0
138.82,1,1730,3,19.75,0
110.4,11,1186,3,28.5,0
30.36,11,170,1,39.26,0
33.82,17,432,1,7.65,0
96.59,20,196,3,26.68,0
211.87,11,661,1,3.89,0
68.11,8,167,3,3.85,0
173.02,9,373,1,3.72,0
22.54,6,964,2,11.67,0
32.28,4,258,3,9.47,0
59.0,21,797,1,13.13,0
64.57,9,591,2,11.26,0
84.79,0,71,3,11.96,0
117.06,19,165,2,2.68,0
189.74,18,33,1,0.56,0
42.99,14,504,2,40.28,0
233.01,22,98,7,2.3,1
244.47,4,551,4,2.94,0
127.36,16,123,0,6.21,0
168.94,11,96,1,5.68,0
50.45,21,269,3,12.15,0
212.77,9,529,2,27.62,0
96.55,7,109,2,0.87,0
57.11,6,777,4,5.57,0
230.23,18,194,2,9.71,0
200.6,10,196,1,0.09,0
86.8,13,1345,1,7.9,0
132.37,19,2220,3,0.44,0
45.49,12,96,2,9.19,0
63.29,19,154,1,14.32,0
129.74,5,456,5,32.76,0
